vocab
action figure
building blocks
coloring book
coloring pencils
crayons
doll
dollhouse
drum set
duplo
easel
finger paints
guitar
harmonica
ipad
kazoo
keyboard
lego
magnetic tiles
markers
modeling clay
musical instrument set
paint set
play food
play mat
play tent
play tunnel
play-doh
playhouse
recorder
stuffed animal
tambourine
teddy bear
toy accordion
toy balalaika
toy banjo
toy bassoon
toy bongo
toy car
toy castanets
toy cello
toy clarinet
toy conga
toy cymbals
toy didgeridoo
toy djembe
toy double bass
toy drum
toy drum set
toy dulcimer
toy esraj
toy flute
toy french horn
toy glockenspiel
toy guitar
toy harmonium
toy harp
toy keyboard
toy kitchen
toy lute
toy lyre
toy mandolin
toy maracas
toy marimba
toy microphone
toy oboe
toy piano
toy piccolo
toy psaltery
toy santur
toy sarangi
toy saxophone
toy sitar
toy surbahar
toy tabla
toy tambourine
toy tanpura
toy timpani
toy tool set
toy train
toy triangle
toy trombone
toy truck
toy trumpet
toy tuba
toy ukulele
toy veena
toy vibraphone
toy viola
toy violin
toy whistle
toy xylophone
toy zither
ukulele
watercolor set
xylophone
