Subject,Fluency_Item,IRT,Semantic_Similarity,Frequency_Value
5c1942e200849900010afdcd,hotel,0.0,0.0001,7.918421309015547
5c1942e200849900010afdcd,apartment,1.9,0.42796594171996605,7.520905765598191
5c1942e200849900010afdcd,motel,0.0,0.2256847091132983,6.6843838131832705
5c1942e200849900010afdcd,hostel,0.0,0.49609497047860807,6.443032398047533
5c1942e200849900010afdcd,resort,11.9,0.31819640672535554,7.451298493318941
5c4a428161c51f0001e96b3f,hotel,0.0,0.0001,7.918421309015547
5c4a428161c51f0001e96b3f,motel,2.2,0.5362013597010763,6.6843838131832705
5c4a428161c51f0001e96b3f,hostel,5.7,0.49609497047860807,6.443032398047533
5c4a428161c51f0001e96b3f,mansion,0.0,0.3595065245362108,7.050609566009107
5c4a428161c51f0001e96b3f,suite,0.0,0.2887983651036077,7.446331791669781
5c4a428161c51f0001e96b3f,barge,5.7,0.12401709466881117,6.953509429304021
5c4a428161c51f0001e96b3f,ranch,17.0,0.19524471956324874,7.176915404476752
5d3cc9010e510a00013df6f6,lodge,4.5,0.0001,7.497959281231732
5d3cc9010e510a00013df6f6,chalet,7.8,0.5724298536324945,5.842570550735202
5d3cc9010e510a00013df6f6,hotel,8.9,0.33543570540151824,7.918421309015547
5e7fefe06c12706d47e35211,hotel,0.0,0.0001,7.918421309015547
5e7fefe06c12706d47e35211,bunk bed,1.4,0.13013401776885947,4.8897049887855095
5e7fefe06c12706d47e35211,resort,3.7,0.23427008616625633,7.451298493318941
5e7fefe06c12706d47e35211,chalet,0.0,0.36927769430542556,5.842570550735202
5e7fefe06c12706d47e35211,motel,10.5,0.2879204943761948,6.6843838131832705
5e8a76b3939b3072dc76fb5c,hotel,0.0,0.0001,7.918421309015547
5e8a76b3939b3072dc76fb5c,motel,0.0,0.5362013597010763,6.6843838131832705
5e8a76b3939b3072dc76fb5c,apartment,0.0,0.2256847091132983,7.520905765598191
5e8a76b3939b3072dc76fb5c,homestay,0.0,0.361972446009432,5.093446201094238
5e8a76b3939b3072dc76fb5c,tent,3.2,0.28209762959218954,7.277425282013261
5e8a76b3939b3072dc76fb5c,ski resort,65.9,0.1826293924275213,5.414105562965777
5f6c102b6ec04317fc9a8127,apartment,2.7,0.0001,7.520905765598191
5f6c102b6ec04317fc9a8127,barge,5.2,0.14962233196437758,6.953509429304021
5f6c102b6ec04317fc9a8127,lodge,19.1,0.2630449819771348,7.497959281231732
5fc6df58f380620a09116434,suite,2.3,0.0001,7.446331791669781
5fc6df58f380620a09116434,resort,2.8,0.2753354371799307,7.451298493318941
5fc6df58f380620a09116434,lodge,4.09999999999999,0.39547091860377215,7.497959281231732
5fc6df58f380620a09116434,chalet,0.0,0.5724298536324945,5.842570550735202
5fc6df58f380620a09116434,tent,1.80000000000001,0.3155850931642813,7.277425282013261
60da4f9aa1ced7efeecca18a,hotel,0.0,0.0001,7.918421309015547
60da4f9aa1ced7efeecca18a,hostel,0.0,0.46490342133081053,6.443032398047533
60da4f9aa1ced7efeecca18a,timeshare,5.1,0.18959124999585408,5.4675237540007835
60da4f9aa1ced7efeecca18a,apartment,1.9,0.24857834796235245,7.520905765598191
60da4f9aa1ced7efeecca18a,townhouse,1.6,0.5180349352615878,5.788399603213633
60da4f9aa1ced7efeecca18a,rooming house,4.2,0.6312988461566521,5.531952550600287
60da4f9aa1ced7efeecca18a,resort,8.0,0.2940770006307909,7.451298493318941
60da4f9aa1ced7efeecca18a,tent,3.8,0.22355155660339598,7.277425282013261
60da4f9aa1ced7efeecca18a,motel,3.3,0.26374663129531983,6.6843838131832705
60da4f9aa1ced7efeecca18a,duplex,19.6,0.24009208944633675,6.594805872703129
60fcf1a04c245326d05076e0,motel,0.0,0.0001,6.6843838131832705
60fcf1a04c245326d05076e0,hostel,10.0,0.49609497047860807,6.443032398047533
60fcf1a04c245326d05076e0,apartment,11.3,0.32875799819651286,7.520905765598191
60fcf1a04c245326d05076e0,penthouse,26.2,0.4741661412419418,6.010766657178819
60fcf1a04c245326d05076e0,townhouse,5.5,0.45583344721460994,5.788399603213633
60fcf1a04c245326d05076e0,duplex,0.0,0.42900121082325704,6.594805872703129
60fcf1a04c245326d05076e0,condominium,9.09999999999999,0.4542230363892106,6.449766496181806
61035836646fb6ee2152f950,motel,0.0,0.0001,6.6843838131832705
61035836646fb6ee2152f950,hostel,1.3,0.49609497047860807,6.443032398047533
61035836646fb6ee2152f950,motel,1.2,0.49609497047860807,6.6843838131832705
61035836646fb6ee2152f950,tent,2.5,0.26374663129531983,7.277425282013261
61035836646fb6ee2152f950,cabin,0.0,0.4475617556418652,7.306298023420248
61035836646fb6ee2152f950,suite,6.4,0.22165585159070667,7.446331791669781
61035836646fb6ee2152f950,lodge,6.0,0.27212577042755703,7.497959281231732
61035836646fb6ee2152f950,resort,3.9,0.39547091860377215,7.451298493318941
61035836646fb6ee2152f950,inn,3.7,0.3220653044972104,7.353769884206974
61035836646fb6ee2152f950,cottage,1.2,0.4169926492575369,7.296542934512578
65512e3cc12f463bc327b7c3,motel,0.0,0.0001,6.6843838131832705
65512e3cc12f463bc327b7c3,apartment,2.9,0.2256847091132983,7.520905765598191
65512e3cc12f463bc327b7c3,teepee,2.3,0.20796230099107027,5.201801185247807
65512e3cc12f463bc327b7c3,cabin,5.7,0.38699987161543437,7.306298023420248
65512e3cc12f463bc327b7c3,campervan,13.5,0.47982242073822756,4.244227625732908
65512e3cc12f463bc327b7c3,guesthouse,23.4,0.3281124358137968,5.732196674095387
65512e3cc12f463bc327b7c3,cottage,6.2,0.5002639557008826,7.296542934512578
65512e3cc12f463bc327b7c3,cottage,10.3,1.0,7.296542934512578
65778c02cde55736bb830eca,campsite,23.7,0.0001,6.0526793241499
65778c02cde55736bb830eca,barge,8.3,0.3073593132687984,6.953509429304021
65778c02cde55736bb830eca,palace,17.5,0.3008305969243994,7.608494604923079
65778c02cde55736bb830eca,dhow,4.10000000000001,0.4116520336127474,5.292242776423944
6595e3b4dc9090390e4edb5f,hostel,0.0,0.0001,6.443032398047533
6595e3b4dc9090390e4edb5f,apartment,0.5,0.32875799819651286,7.520905765598191
6595e3b4dc9090390e4edb5f,hotel,0.0,0.42796594171996605,7.918421309015547
6595e3b4dc9090390e4edb5f,motel,0.0,0.5362013597010763,6.6843838131832705
6595e3b4dc9090390e4edb5f,cabin,4.8,0.33870829881541975,7.306298023420248
