Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
5c1942e200849900010afdcd,bandages,0.0001,6.375498459228571
5c1942e200849900010afdcd,bandages,1.0,6.375498459228571
5c1942e200849900010afdcd,utensils,0.35442165043719465,6.726295307251233
5c1942e200849900010afdcd,sponges,0.35913176083500176,6.411328226873484
5c1942e200849900010afdcd,tissues,0.47251838171736515,7.53255528384864
5c1942e200849900010afdcd,diapers,0.4057697156320039,6.044499386375326
5c1942e200849900010afdcd,toilet paper,0.44528241978886696,5.891022577735672
5c1942e200849900010afdcd,pads,0.43811062323212,6.778621842930135
5c1942e200849900010afdcd,pads,1.0,6.778621842930135
5c1942e200849900010afdcd,plasticware,0.33732166418075726,4.505977064110106
5c1942e200849900010afdcd,candles,0.16469439077439496,6.9613002816951575
5c1942e200849900010afdcd,candles,1.0,6.9613002816951575
5c1942e200849900010afdcd,pet supplies,0.2789929949545067,4.903019408403969
5c1942e200849900010afdcd,tissues,0.4192364453625361,7.53255528384864
5c1942e200849900010afdcd,cookware,0.3397381685324181,5.479693332411725
5c1942e200849900010afdcd,shoes,0.35934810152698893,7.535946249440263
5c1942e200849900010afdcd,tampons,0.30283357493764607,5.539788460094565
5c4a428161c51f0001e96b3f,vitamins,0.0001,6.87809550670188
5c4a428161c51f0001e96b3f,plasticware,0.30390464620008717,4.505977064110106
5c4a428161c51f0001e96b3f,bandages,0.31339873885588665,6.375498459228571
5c4a428161c51f0001e96b3f,plasticware,0.31339873885588665,4.505977064110106
5c4a428161c51f0001e96b3f,bug spray,0.15837862880938758,4.556000802608643
5c4a428161c51f0001e96b3f,candles,0.39075596397825074,6.9613002816951575
5c4a428161c51f0001e96b3f,pet supplies,0.2789929949545067,4.903019408403969
5c4a428161c51f0001e96b3f,diapers,0.29696807395654123,6.044499386375326
5c4a428161c51f0001e96b3f,pet supplies,0.29696807395654123,4.903019408403969
5c4a428161c51f0001e96b3f,pet supplies,1.0,4.903019408403969
5c4a428161c51f0001e96b3f,pads,0.34634542194368145,6.778621842930135
5c4a428161c51f0001e96b3f,batteries,0.4274734236069242,7.213002327532211
5c4a428161c51f0001e96b3f,shoes,0.3231337157431209,7.535946249440263
5c4a428161c51f0001e96b3f,toothpaste,0.3047231285481464,6.038201559462
5c4a428161c51f0001e96b3f,toothpaste,0.9999999999999998,6.038201559462
5c4a428161c51f0001e96b3f,toothbrushes,0.6120089962528602,5.4983326126316365
5c4a428161c51f0001e96b3f,pet supplies,0.3793437804884019,4.903019408403969
5d3cc9010e510a00013df6f6,toilet paper,0.0001,5.891022577735672
5d3cc9010e510a00013df6f6,diapers,0.44528241978886696,6.044499386375326
5d3cc9010e510a00013df6f6,apparel,0.3145595316174159,7.0577119648110145
5d3cc9010e510a00013df6f6,electronics,0.41337689631734054,7.404242657002998
5d3cc9010e510a00013df6f6,toiletries,0.39829048485700924,5.837273965902591
5d3cc9010e510a00013df6f6,shampoo,0.5057223433007311,6.181265763491474
5d3cc9010e510a00013df6f6,conditioner,0.7056539298322866,6.256315007269234
5d3cc9010e510a00013df6f6,kitchenware,0.23929213177800623,5.358492595204731
5d3cc9010e510a00013df6f6,pet supplies,0.3157486767581499,4.903019408403969
5e7fefe06c12706d47e35211,bandages,0.0001,6.375498459228571
5e7fefe06c12706d47e35211,diapers,0.389798801377752,6.044499386375326
5e7fefe06c12706d47e35211,toilet paper,0.44528241978886696,5.891022577735672
5e7fefe06c12706d47e35211,vitamins,0.18893171347322135,6.87809550670188
5e7fefe06c12706d47e35211,tampons,0.2335206084504552,5.539788460094565
5e7fefe06c12706d47e35211,pads,0.7353630541978075,6.778621842930135
5e7fefe06c12706d47e35211,allergy medications,0.23980399637131433,3.977815026083187
5e7fefe06c12706d47e35211,shampoo,0.37226204770238613,6.181265763491474
5e7fefe06c12706d47e35211,conditioner,0.7056539298322866,6.256315007269234
5e7fefe06c12706d47e35211,plasticware,0.24612297945159112,4.505977064110106
5e7fefe06c12706d47e35211,bandages,0.31339873885588665,6.375498459228571
5e7fefe06c12706d47e35211,bandages,1.0,6.375498459228571
5e7fefe06c12706d47e35211,toothbrushes,0.43844328063119153,5.4983326126316365
5e7fefe06c12706d47e35211,toothpaste,0.6120089962528602,6.038201559462
5e7fefe06c12706d47e35211,mouthwash,0.5878955982553479,5.439829873724469
5e7fefe06c12706d47e35211,sunscreen,0.3562894054152699,5.768823764988362
5e8a76b3939b3072dc76fb5c,batteries,0.0001,7.213002327532211
5e8a76b3939b3072dc76fb5c,coolers,0.31161692319216394,6.227343110984636
5e8a76b3939b3072dc76fb5c,electronics,0.24592844677634074,7.404242657002998
5e8a76b3939b3072dc76fb5c,coolers,0.24592844677634074,6.227343110984636
5e8a76b3939b3072dc76fb5c,candles,0.2738361098281461,6.9613002816951575
5e8a76b3939b3072dc76fb5c,tampons,0.3804326994515663,5.539788460094565
5e8a76b3939b3072dc76fb5c,bandages,0.4224161087483056,6.375498459228571
5e8a76b3939b3072dc76fb5c,kitchenware,0.29211326658456294,5.358492595204731
5e8a76b3939b3072dc76fb5c,pet supplies,0.3157486767581499,4.903019408403969
5e8a76b3939b3072dc76fb5c,sponges,0.3263241835536448,6.411328226873484
5e8a76b3939b3072dc76fb5c,pads,0.40836139597738963,6.778621842930135
5ed9311e1a69d449577bb8cf,pads,0.0001,6.778621842930135
5ed9311e1a69d449577bb8cf,toilet paper,0.43811062323212,5.891022577735672
5ed9311e1a69d449577bb8cf,diapers,0.44528241978886696,6.044499386375326
5ed9311e1a69d449577bb8cf,diapers,1.0,6.044499386375326
5ed9311e1a69d449577bb8cf,pads,0.443644683242455,6.778621842930135
5ed9311e1a69d449577bb8cf,diapers,0.443644683242455,6.044499386375326
5ed9311e1a69d449577bb8cf,pads,0.443644683242455,6.778621842930135
5ed9311e1a69d449577bb8cf,coolers,0.33620132706603933,6.227343110984636
5ed9311e1a69d449577bb8cf,kitchenware,0.16740615491253008,5.358492595204731
5f6c102b6ec04317fc9a8127,sponges,0.0001,6.411328226873484
5f6c102b6ec04317fc9a8127,pads,0.40836139597738963,6.778621842930135
5f6c102b6ec04317fc9a8127,toothpaste,0.32778838562666124,6.038201559462
5f6c102b6ec04317fc9a8127,shampoo,0.4880258672412454,6.181265763491474
5f6c102b6ec04317fc9a8127,deodorant,0.4334428575242055,5.746375724602475
