subj_id	Word	Start_time	End_time	Confidence
910517	phones	0.8	2.5	0.8869372606277466
910517	cars	4.4	5.2	0.8918066024780273
910517	headphones	7.8	10.0	0.94227534532547
910517	earbuds	10.0	10.5	0.94227534532547
910517	airpods	10.5	12.0	0.94227534532547
910517	Mouse	14.1	15.0	0.9520813226699829
910517	flash	16.1	16.6	0.9025893807411194
910517	drive	16.6	17.1	0.9025893807411194
910517	portable	19.4	20.2	0.9337548613548279
910517	battery	20.2	20.6	0.9337548613548279
910517	video game	27.6	28.5	0.9800479412078857
910517	consoles	28.5	28.9	0.9800479412078857
910517	tablets	31.3	32.2	0.9038865566253662
910517	iPads	32.2	33.1	0.9038865566253662
910517	candles	34.4	35.2	0.6981701254844666
910517	like	38.8	39.8	0.8507652282714844
910517	Alexis	39.8	40.6	0.8507652282714844
910517	using	43.9	44.4	0.9058383107185364
910517	ring	44.4	44.7	0.9058383107185364
910517	doorbells	44.7	45.4	0.9058383107185364
910517	like the	45.4	46.4	0.9058383107185364
910517	the ones with	46.4	47.2	0.9058383107185364
910517	the	47.2	47.3	0.9058383107185364
910517	cameras	47.3	47.8	0.9058383107185364
910517	security	47.8	49.4	0.9058383107185364
910517	cameras	49.4	50.3	0.9058383107185364
910517	I got	56.5	58.2	0.8227782249450684
910517	wireless	58.2	58.5	0.8227782249450684
910517	charger	58.5	59.1	0.8227782249450684
910517	charges	59.1	60.6	0.8227782249450684
910517	in general	60.6	61.1	0.8227782249450684
910517	stylus	65.8	66.8	0.5929501056671143
910517	food	73.8	76.2	0.9917526841163635
910517	processor	76.2	76.8	0.9917526841163635
910517	blender	76.8	77.4	0.9917526841163635
910517	timers	81.4	82.4	0.9108740091323853
910517	microwave	82.4	83.6	0.9108740091323853
910517	quick	106.7	107.3	0.7844817042350769
910517	remote	107.3	107.6	0.7844817042350769
910517	controls	107.6	108.1	0.7844817042350769
910517	phones	0.8	2.5	0.8869372606277466
910517	cars	4.4	5.2	0.8918066024780273
910517	headphones	7.8	10.0	0.94227534532547
910517	earbuds	10.0	10.5	0.94227534532547
910517	airpods	10.5	12.0	0.94227534532547
910517	Mouse	14.1	15.0	0.9520813226699829
910517	flash	16.1	16.6	0.9025893807411194
910517	drive	16.6	17.1	0.9025893807411194
910517	portable	19.4	20.2	0.9337548613548279
910517	battery	20.2	20.6	0.9337548613548279
910517	video game	27.6	28.5	0.9800479412078857
910517	consoles	28.5	28.9	0.9800479412078857
910517	tablets	31.3	32.2	0.9038865566253662
910517	iPads	32.2	33.1	0.9038865566253662
910517	candles	34.4	35.2	0.6981701254844666
910517	like	38.8	39.8	0.8507652282714844
910517	Alexis	39.8	40.6	0.8507652282714844
910517	using	43.9	44.4	0.9058383107185364
910517	ring	44.4	44.7	0.9058383107185364
910517	doorbells	44.7	45.4	0.9058383107185364
910517	like the	45.4	46.4	0.9058383107185364
910517	the ones with	46.4	47.2	0.9058383107185364
910517	the	47.2	47.3	0.9058383107185364
910517	cameras	47.3	47.8	0.9058383107185364
910517	security	47.8	49.4	0.9058383107185364
910517	cameras	49.4	50.3	0.9058383107185364
910517	I got	56.5	58.2	0.8227782249450684
910517	wireless	58.2	58.5	0.8227782249450684
910517	charger	58.5	59.1	0.8227782249450684
910517	charges	59.1	60.6	0.8227782249450684
910517	in general	60.6	61.1	0.8227782249450684
910517	stylus	65.8	66.8	0.5929501056671143
910517	food	73.8	76.2	0.9917526841163635
910517	processor	76.2	76.8	0.9917526841163635
910517	blender	76.8	77.4	0.9917526841163635
910517	timers	81.4	82.4	0.9108740091323853
910517	microwave	82.4	83.6	0.9108740091323853
910517	quick	106.7	107.3	0.7844817042350769
910517	remote	107.3	107.6	0.7844817042350769
910517	controls	107.6	108.1	0.7844817042350769
004144	cell phone	0.8	3.6	0.8845929503440857
004144	computer	3.6	4.1	0.8845929503440857
004144	Apple	4.1	5.5	0.8845929503440857
004144	camera	5.5	8.3	0.8845929503440857
004144	television	8.3	9.5	0.8845929503440857
004144	Vision	13.0	14.8	0.8915477991104126
004144	Pro	14.8	15.0	0.8915477991104126
004144	Samsung	20.0	21.0	0.9152278900146484
004144	watch	26.1	27.9	0.9450445771217346
004144	teleprompter	40.2	41.3	0.9393882155418396
004144	keyboard mouse	45.1	46.4	0.9617564678192139
004144	monitor	48.5	49.6	0.9634808897972107
004144	headphones	52.6	54.0	0.9654666781425476
004144	airpods	55.6	56.6	0.7963429689407349
004144	wireless	65.3	66.8	0.9216875433921814
004144	Bluetooth	66.8	68.0	0.9216875433921814
004144	Wi-Fi	68.0	69.2	0.9216875433921814
004144	connectivity	70.3	71.0	0.6555718779563904
004144	phone	83.3	83.9	0.9787311553955078
004144	calls	83.9	84.4	0.9787311553955078
004144	FaceTime	85.6	87.0	0.977753221988678
004144	social	92.0	92.6	0.9759688973426819
004144	media	92.6	93.0	0.9759688973426819
004144	poop	100.5	101.8	0.7281256914138794
004144	song	101.8	102.0	0.7281256914138794
004144	charger	105.6	106.4	0.9876290559768677
004144	cable	106.4	107.3	0.9876290559768677
004144	channel	108.9	109.7	1.0
004144	walkie-talkie	112.9	113.9	0.9723832607269287
929641	Raspberry	0.7	3.1	0.9699543714523315
929641	Pi	3.1	3.3	0.9699543714523315
929641	iPhone	3.3	4.1	0.9699543714523315
929641	Android	4.1	5.5	0.9699543714523315
929641	Nokia	5.5	6.2	0.9699543714523315
929641	esp8266	7.1	10.0	0.9876290559768677
929641	TV	13.4	15.5	0.9765694737434387
929641	monitor	15.5	15.9	0.9765694737434387
929641	LCD	17.0	17.7	0.9876290559768677
929641	monitor	17.7	17.9	0.9876290559768677
929641	eating	19.6	20.6	0.9173197746276855
929641	technology	20.6	20.9	0.9173197746276855
929641	in	22.3	22.8	0.8518029451370239
929641	paper	22.8	23.2	0.8518029451370239
929641	Xbox	25.0	26.4	0.9800910949707031
929641	360	26.4	26.8	0.9800910949707031
929641	Xbox	26.8	27.1	0.9800910949707031
929641	One	27.1	27.3	0.9800910949707031
929641	Xbox	27.3	28.0	0.9800910949707031
929641	One	28.0	28.2	0.9800910949707031
929641	S	28.2	28.3	0.9800910949707031
929641	Xbox	28.3	29.3	0.9800910949707031
929641	One	29.3	29.7	0.9800910949707031
929641	SX	29.7	30.4	0.9800910949707031
929641	iPhone	31.9	32.5	0.7286403775215149
929641	15	32.5	32.8	0.7286403775215149
929641	Pro	32.8	33.0	0.7286403775215149
929641	FM	33.0	33.9	0.7286403775215149
929641	14	33.9	34.2	0.7286403775215149
929641	pro	34.2	34.5	0.7286403775215149
929641	I can	34.5	34.9	0.7286403775215149
929641	59th	34.9	35.4	0.7286403775215149
929641	and	35.4	35.5	0.7286403775215149
929641	14th	35.5	36.0	0.7286403775215149
929641	notes	36.8	37.5	0.8912925124168396
929641	lost	38.4	38.9	0.889163613319397
929641	time	38.9	39.2	0.889163613319397
929641	mechanical	41.1	41.9	0.9876290559768677
929641	keyboard	41.9	42.3	0.9876290559768677
929641	RFID	47.5	48.3	0.9683453440666199
929641	reader	48.3	48.7	0.9683453440666199
929641	writer	48.7	50.8	0.9683453440666199
929641	life	56.2	56.7	0.856819748878479
929641	finds	56.7	56.9	0.856819748878479
929641	a	56.9	57.1	0.856819748878479
929641	tp-link	57.1	57.4	0.856819748878479
929641	antenna	57.4	58.0	0.856819748878479
929641	iPad	65.7	67.4	0.6859620809555054
929641	iPad	68.5	69.0	1.0
929641	stylus	69.0	69.3	1.0
929641	electric	72.1	74.1	0.9137685298919678
929641	magnet	74.1	74.5	0.9137685298919678
929641	electromagnetic	83.3	84.2	0.9876291155815125
929641	pulse	84.2	84.5	0.9876291155815125
929641	device	84.5	85.2	0.9876291155815125
929641	RGB	89.7	90.5	0.9736360907554626
929641	lights	90.5	91.1	0.9736360907554626
929641	speakers	94.9	95.8	0.9660713076591492
929641	TV	97.4	98.1	0.8934490084648132
929641	LCD	99.8	100.5	0.9717342853546143
929641	screen	100.5	100.9	0.9717342853546143
929641	USB	108.9	110.0	0.972220242023468
929641	charger	110.0	110.5	0.972220242023468
929641	lightning	111.6	112.2	0.9797937273979187
929641	cable	112.2	112.8	0.9797937273979187
929641	charger	112.8	113.4	0.9797937273979187
929641	USB	113.4	114.3	0.9797937273979187
929641	C	114.3	114.3	0.9797937273979187
929641	charger	114.3	114.9	0.9797937273979187
929641	Derek	118.8	119.5	0.4177051186561584
929641	Abel	119.5	119.6	0.4177051186561584
395439	computer	2.7	4.4	0.92082279920578
395439	iPhone	4.4	5.7	0.92082279920578
395439	charging	5.7	7.1	0.92082279920578
395439	cables	7.1	7.6	0.92082279920578
395439	cords	7.6	8.2	0.92082279920578
395439	airpods	8.2	8.9	0.92082279920578
395439	earbuds	8.9	9.5	0.92082279920578
395439	wireless	9.5	11.0	0.92082279920578
395439	headphones	11.0	11.7	0.92082279920578
395439	Bluetooth	11.7	12.1	0.92082279920578
395439	wireless	14.8	15.5	0.9818829298019409
395439	charging	15.5	15.9	0.9818829298019409
395439	charging	17.6	18.3	0.8788856267929077
395439	blocks	18.3	18.9	0.8788856267929077
395439	extension	20.0	20.6	0.9788380861282349
395439	cords	20.6	21.2	0.9788380861282349
395439	connectors	23.1	24.4	0.8593438863754272
395439	USB	24.4	25.1	0.8593438863754272
395439	connectors	25.1	25.7	0.8593438863754272
395439	converters	25.7	26.8	0.8593438863754272
395439	printers	38.0	38.8	0.9058856964111328
395439	scanners	38.8	38.9	0.9058856964111328
395439	desk	38.9	40.6	0.9058856964111328
395439	computers	40.6	41.2	0.9058856964111328
395439	two	44.0	44.4	0.7296670079231262
395439	phones	44.4	45.0	0.7296670079231262
395439	iPads	45.0	46.2	0.7296670079231262
395439	cameras	51.3	52.3	0.8927084803581238
395439	GoPros	54.1	55.1	0.9375765323638916
395439	watches	63.7	64.7	0.9239853620529175
395439	TVs	118.1	118.9	0.8493120074272156
538590	computers	3.4	5.8	0.9704997539520264
538590	tablets	5.8	7.2	0.9704997539520264
538590	monitors	7.2	8.9	0.9704997539520264
538590	keyboard	10.9	12.1	0.9776442050933838
538590	widgets	12.1	13.7	0.9776442050933838
538590	websites	23.3	24.6	0.9291771650314331
538590	tablets	29.8	31.0	0.9795083403587341
